_________,1.____,,_,_,,,_,_,,5.____,,_,_,,,_,_
,,A1,2,2,,C1,1,1,,,A1,1,1,,C1,1,1
,,A2,2,2,,C2,1,1,,,A2,1,1,,C2,1,2
,,A3,1,2,,C4,2,2,,,A3,1,2,,C4,2,1
,,A4,2,2,,C5,2,2,,,A4,2,2,,C5,1,1
,,A5,0,1,,C6,2,2,,,A5,1,2,,C6,2,2
,,,,,,,,,,,,,,,,,
,2._____,,_,_,,,_,_,,6.______,,_,_,,,_,_
,,A1,2,2,,C1,0,0,,,A1,3,3,,C1,0,0
,,A2,3,3,,C2,1,1,,,A2,0,0,,C2,3,2
,,A3,1,2,,C4,2,3,,,A3,0,2,,C4,3,3
,,A4,3,3,,C5,2,2,,,A4,2,1,,C5,2,0
,,A5,1,1,,C6,2,2,,,A5,0,0,,C6,0,0
,,,,,,,,,,,,,,,,,
,3.____,,_,_,,,_,_,,7.______,,_,_,,,_,_
,,A1,1,2,,C1,0,1,,,A1,0,1,,C1,2,1
,,A2,0,0,,C2,3,2,,,A2,0,1,,C2,1,1
,,A3,0,0,,C4,3,3,,,A3,0,0,,C4,1,0
,,A4,3,3,,C5,3,3,,,A4,1,1,,C5,1,0
,,A5,2,2,,C6,1,0,,,A5,0,0,,C6,0,0
,,,,,,,,,,,,,,,,,
,4.____,,_,_,,,_,_,,__,,_,_,,,_,_
,,A1,0,1,,C1,0,0,,,A1,9,12,,C1,4,4
,,A2,1,1,,C2,1,0,,,A2,7,8,,C2,11,9
,,A3,0,0,,C4,3,3,,,A3,3,8,,C4,16,15
,,A4,1,1,,C5,3,0,,,A4,14,13,,C5,14,8
,,A5,0,0,,C6,0,0,,,A5,4,6,,C6,7,6
